"ID","worktype","composer","display title",
"mc000339","musical composition","Bach, J. S.","Fugue in G# minor, Well-Tempered Clavier, Book II",
"mc000457","musical composition","Bach, J. S.","Italian Concerto, BWV 971",
"mc000509","musical composition","Bach, J. S.","Magnificat, BWV 243a",
"mc000369","musical composition","Bach, J. S.","Mass in B minor, BWV 232",
"mc000529","musical composition","Bach, J. S.","Partita No. 2 in D minor, for solo violin, BWV 1004",
"mc000283","musical composition","Bach, J. S.","Prelude and Fugue in  B major, Well-Tempered Clavier, Book I",
"mc000355","musical composition","Bach, J. S.","Prelude and Fugue in  B major, Well-Tempered Clavier, Book II",
"mc000271","musical composition","Bach, J. S.","Prelude and Fugue in A major, Well-Tempered Clavier, Book I",
"mc000343","musical composition","Bach, J. S.","Prelude and Fugue in A major, Well-Tempered Clavier, Book II",
"mc000274","musical composition","Bach, J. S.","Prelude and Fugue in A minor, Well-Tempered Clavier, Book I",
"mc000346","musical composition","Bach, J. S.","Prelude and Fugue in A minor, Well-Tempered Clavier, Book II",
"mc000265","musical composition","Bach, J. S.","Prelude and Fugue in Ab major, Well-Tempered Clavier, Book I",
"mc000337","musical composition","Bach, J. S.","Prelude and Fugue in Ab major, Well-Tempered Clavier, Book II",
"mc000286","musical composition","Bach, J. S.","Prelude and Fugue in B minor, Well-Tempered Clavier, Book I",
"mc000358","musical composition","Bach, J. S.","Prelude and Fugue in B minor, Well-Tempered Clavier, Book II",
"mc000277","musical composition","Bach, J. S.","Prelude and Fugue in Bb major, Well-Tempered Clavier, Book I",
"mc000349","musical composition","Bach, J. S.","Prelude and Fugue in Bb major, Well-Tempered Clavier, Book II",
"mc000280","musical composition","Bach, J. S.","Prelude and Fugue in Bb minor, Well-Tempered Clavier, Book I",
"mc000352","musical composition","Bach, J. S.","Prelude and Fugue in Bb minor, Well-Tempered Clavier, Book II",
"mc000217","musical composition","Bach, J. S.","Prelude and Fugue in C major, Well-Tempered Clavier, Book I",
"mc000289","musical composition","Bach, J. S.","Prelude and Fugue in C major, Well-Tempered Clavier, Book II",
"mc000220","musical composition","Bach, J. S.","Prelude and Fugue in C minor, Well-Tempered Clavier, Book I",
